	GeneIndex	Name
527	527	fgr
527	527	src2
527	527	c-fgr
527	527	p55c-fgr
528	528	ifi6
528	528	g1p3
528	528	ifi616
528	528	fam14c
528	528	6-16
528	528	ifi-6-16
529	529	fam76a
529	529	mgc34648
530	530	stx12
530	530	stx13
530	530	stx14
531	531	ppp1r8
531	531	ard-1
531	531	nipp-1
531	531	pro2047
531	531	ard1
531	531	nipp1
532	532	scarna1
532	532	aca35
533	533	themis2
533	533	c1orf38
533	533	icb-1
533	533	icb-1
534	534	rpa2
535	535	smpdl3b
535	535	asml3b
536	536	xkr8
536	536	flj10307
537	537	eya3
537	537	dkfzp686c132
538	538	ptafr
539	539	dnajc8
539	539	spf31
540	540	atp5if1
540	540	atpif1
540	540	atpi
540	540	ip
540	540	atpip
540	540	mgc1167
540	540	mgc8898
541	541	ja611241
542	542	sesn2
542	542	ses2
542	542	dkfzp761m0212
542	542	hi95
542	542	sest2
543	543	med18
543	543	flj20045
543	543	p28b
543	543	srb5
544	544	phactr4
544	544	flj13171
544	544	ppp1r124
545	545	snhg3
545	545	rnu17d
545	545	rnu17c
545	545	u17hg
545	545	u17hg-a
545	545	ncrna00014
546	546	rcc1
546	546	chc1
547	547	trnau1ap
547	547	trspap1
547	547	secp43
547	547	flj20503
548	548	snhg12
548	548	c1orf79
548	548	pnas-123
548	548	linc00100
548	548	aslnc04080
549	549	snord99
549	549	hbii-420
550	550	snora61
550	550	aca61
551	551	snora44
551	551	aca44
552	552	snora16a
552	552	aca16
553	553	rab42p1
553	553	rab42
553	553	rab42p
554	554	taf12
554	554	taf2j
554	554	tafii20
555	555	rnu11
555	555	u11
555	555	rnu11-1
556	556	gmeb1
556	556	p96pif
556	556	pif96
557	557	scarna24
558	558	ythdf2
558	558	hgrg8
558	558	ny-ren-2
558	558	cahl
559	559	oprd1
560	560	epb41
560	560	el1
560	560	4.1r
561	561	tmem200b
561	561	ttmb
562	562	srsf4
562	562	sfrs4
562	562	srp75
563	563	mecr
563	563	cgi-63
563	563	nrbf1
563	563	fasn2b
563	563	etr1
564	564	ptpru
564	564	ptpro
564	564	hptp-j
