,GeneIndex,Name,Log2FoldChange,AdjustedPValue
5587,5587,BC043242,0.0,1.0
5588,5588,GUCY1A2,0.0,1.0
5589,5589,CWF19L2,0.0,1.0
5590,5590,ALKBH8,0.0,1.0
5591,5591,ELMOD1,0.0,1.0
5592,5592,LOC643923,0.0,1.0
5593,5593,SLN,7.28038401845968,1.55e-238
5594,5594,SLC35F2,0.0,1.0
5595,5595,RAB39A,0.0,1.0
5596,5596,CUL5,0.0,1.0
5597,5597,ACAT1,0.0,1.0
5598,5598,NPAT,0.0,1.0
5599,5599,ATM,0.0,1.0
5600,5600,C11orf65,0.0,1.0
5601,5601,KDELC2,0.0,1.0
5602,5602,EXPH5,-1.73495419096605,1.34e-05
5603,5603,DDX10,0.0,1.0
5604,5604,5S_rRNA_71,0.0,1.0
5605,5605,TRNA_Ser_6,0.0,1.0
5606,5606,TRNA_19,0.0,1.0
5607,5607,C11orf87,0.0,1.0
5608,5608,ZC3H12C,0.0,1.0
5609,5609,RDX,0.0,1.0
5610,5610,AK124179,0.0,1.0
5611,5611,SnoR4,0.0,1.0
5612,5612,AK094117,0.0,1.0
5613,5613,FDX1,0.0,1.0
5614,5614,ARHGAP20,0.0,1.0
5615,5615,C11orf53,0.0,1.0
5616,5616,C11orf92,0.0,1.0
5617,5617,C11orf93,0.0,1.0
5618,5618,MI0016853,0.0,1.0
5619,5619,POU2AF1,1.07753490002754,0.007381304386934
5620,5620,BC022056,0.0,1.0
5621,5621,LOC100132078,0.0,1.0
5622,5622,AB231705,0.0,1.0
5623,5623,BTG4,0.0,1.0
5624,5624,BC021736,0.0,1.0
5625,5625,MI0000742,0.0,1.0
5626,5626,MI0000743,0.0,1.0
5627,5627,C11orf88,0.0,1.0
5628,5628,LAYN,0.0,1.0
5629,5629,SIK2,0.0,1.0
5630,5630,DQ599327,0.0,1.0
5631,5631,LOH11CR1I,0.0,1.0
5632,5632,PPP2R1B,0.0,1.0
5633,5633,ALG9,0.0,1.0
5634,5634,FDXACB1,0.0,1.0
5635,5635,C11orf1,0.0,1.0
5636,5636,CRYAB,1.03473807908144,1.81e-10
5637,5637,HSPB2,0.0,1.0
5638,5638,HSPB2-C11orf52,0.0,1.0
5639,5639,DIXDC1,0.0,1.0
5640,5640,DLAT,0.0,1.0
5641,5641,PIH1D2,0.0,1.0
5642,5642,C11orf57,0.0,1.0
5643,5643,TIMM8B,0.0,1.0
5644,5644,SDHD,0.0,1.0
5645,5645,IL18,0.0,1.0
5646,5646,TEX12,0.0,1.0
